id,centre,number,primary,type,country,source,person
,C#44000271,01274 584 914,TRUE,lan,GB,OFSTED,
,C#44000272,7914389726,TRUE,mob,GB,OFSTED,
,C#44000273,7944800503,TRUE,mob,GB,OFSTED,
,C#44000274,1274598540,TRUE,lan,GB,OFSTED,
,C#44000275,1274582514,TRUE,lan,GB,OFSTED,
,C#44000276,1274582927,TRUE,lan,GB,OFSTED,
,C#44000277,7783833131,TRUE,mob,GB,OFSTED,
,C#44000278,1274584068,TRUE,lan,GB,OFSTED,
,C#44000279,01274 809001,TRUE,lan,GB,OFSTED,
,C#44000280,1274588831,TRUE,lan,GB,OFSTED,
,C#44000281,1274410349,TRUE,lan,GB,OFSTED,
,C#44000282,1274583900,TRUE,lan,GB,OFSTED,
,C#44000283,01274 710779,TRUE,lan,GB,OFSTED,
,C#44000284,01274 588633,TRUE,lan,GB,OFSTED,
,C#44000285,1274597957,TRUE,lan,GB,OFSTED,
,C#44000286,7738933893,TRUE,mob,GB,OFSTED,
,C#44000287,01274 456680,TRUE,lan,GB,OFSTED,
,C#44000288,01274 597558,TRUE,lan,GB,OFSTED,
,C#44000289,1274584368,TRUE,lan,GB,OFSTED,
,C#44000290,01274 532120,TRUE,lan,GB,OFSTED,
,C#44000291,7944109173,TRUE,mob,GB,OFSTED,
,C#44000292,1274531102,TRUE,lan,GB,OFSTED,
,C#44000293,1274028613,TRUE,lan,GB,OFSTED,
,C#44000294,01274 876179,TRUE,lan,GB,OFSTED,
,C#44000295,01274 862812,TRUE,lan,GB,OFSTED,
,C#44000296,1274864972,TRUE,lan,GB,OFSTED,
,C#44000297,7774317620,TRUE,mob,GB,OFSTED,
,C#44000298,7940486730,TRUE,mob,GB,OFSTED,
,C#44000299,7734603355,TRUE,mob,GB,OFSTED,
,C#44000300,01274 872877,TRUE,lan,GB,OFSTED,
,C#44000301,1274874550,TRUE,lan,GB,OFSTED,
,C#44000302,7775834111,TRUE,mob,GB,OFSTED,
,C#44000303,01274 852323,TRUE,lan,GB,OFSTED,
,C#44000304,01274 878777,TRUE,lan,GB,OFSTED,
,C#44000305,1274864455,TRUE,lan,GB,OFSTED,
,C#44000306,1274679541,TRUE,lan,GB,OFSTED,
,C#44000307,01274 335200,TRUE,lan,GB,OFSTED,
,C#44000308,1274864451,TRUE,lan,GB,OFSTED,
,C#44000309,1274532649,TRUE,lan,GB,OFSTED,
,C#44000310,1274639049,TRUE,lan,GB,OFSTED,
,C#44000311,1274307490,TRUE,lan,GB,OFSTED,
,C#44000312,01274 612991,TRUE,lan,GB,OFSTED,
,C#44000313,1274772175,TRUE,lan,GB,OFSTED,
,C#44000314,01274 643431,TRUE,lan,GB,OFSTED,
,C#44000315,01274 640640,TRUE,lan,GB,OFSTED,
,C#44000316,01274 643431,TRUE,lan,GB,OFSTED,
,C#44000317,1274774446,TRUE,lan,GB,OFSTED,
,C#44000318,7808157541,TRUE,mob,GB,OFSTED,
,C#44000319,7813069326,TRUE,mob,GB,OFSTED,
,C#44000320,01274 636403,TRUE,lan,GB,OFSTED,
